L,T,gamma,trapped_count,total_particles,efficiency,T_final_tilde,delta_T_tilde,absolute_delta_T_uK
372759.56,2285.7144,1.5625,2000,2000,1.0,0.061118986,0.011118986,1.1118985
372759.56,2928.5715,1.5625,2000,2000,1.0,0.05472683,0.004726831,0.47268307
372759.56,3571.4287,1.5625,2000,2000,1.0,0.053111035,0.0031110346,0.31110346
372759.56,4214.286,1.5625,2000,2000,1.0,0.054599553,0.0045995526,0.45995525
372759.56,4857.143,1.5625,2000,2000,1.0,0.0518338,0.0018338002,0.18338002
372759.56,5500.0005,1.5625,2000,2000,1.0,0.052585676,0.0025856756,0.25856754
372759.56,6142.8574,1.5625,2000,2000,1.0,0.051758744,0.0017587431,0.17587431
372759.56,6785.715,1.5625,2000,2000,1.0,0.055222753,0.0052227527,0.5222752
372759.56,7428.572,1.5625,2000,2000,1.0,0.052565206,0.002565205,0.2565205
372759.56,8071.429,1.5625,2000,2000,1.0,0.052298512,0.0022985116,0.22985116
372759.56,8714.286,1.5625,2000,2000,1.0,0.0529721,0.0029721,0.29721
372759.56,9357.144,1.5625,2000,2000,1.0,0.051989242,0.0019892417,0.19892417
372759.56,10000.0,1.5625,2000,2000,1.0,0.05326151,0.0032615103,0.326151
517947.62,1000.0,1.5625,0,2000,0.0,nan,nan,nan
517947.62,1642.8572,1.5625,1962,2000,0.98100007,0.099901296,0.049901295,4.9901295
517947.62,2285.7144,1.5625,2000,2000,1.0,0.068411075,0.018411074,1.8411072
517947.62,2928.5715,1.5625,2000,2000,1.0,0.0589572,0.0089572,0.89571995
517947.62,3571.4287,1.5625,2000,2000,1.0,0.053587794,0.0035877936,0.35877934
517947.62,4214.286,1.5625,2000,2000,1.0,0.054229803,0.0042298026,0.42298028
517947.62,4857.143,1.5625,2000,2000,1.0,0.052883364,0.0028833635,0.28833634
517947.62,5500.0005,1.5625,2000,2000,1.0,0.055906836,0.005906835,0.5906835
